Speaker,Model,Error Type,TP,FP,FN,precision,recall,f1
SA002_grandfather,small,Insertion Errors,2,23,6,0.08,0.25,0.12
SA002_grandfather,small,Repetition Errors,0,25,3,0.00,0.00,0.00
SA002_grandfather,small,Prosodic Errors,2,23,2,0.08,0.50,0.14
SA002_grandfather,medium,Substitution Errors,12,15,2,0.44,0.86,0.59
SA002_grandfather,medium,Deletion Errors,5,21,5,0.19,0.50,0.28
SA002_grandfather,medium,Insertion Errors,2,24,5,0.08,0.29,0.12
SA002_grandfather,medium,Repetition Errors,1,25,2,0.04,0.33,0.07
SA002_grandfather,medium,Prosodic Errors,2,24,2,0.08,0.50,0.13
SA002_grandfather,large,Substitution Errors,10,17,3,0.37,0.77,0.50
SA002_grandfather,large,Deletion Errors,7,20,3,0.26,0.70,0.38
SA002_grandfather,large,Insertion Errors,3,24,5,0.11,0.38,0.17
SA002_grandfather,large,Repetition Errors,1,26,2,0.04,0.33,0.07
SA002_grandfather,large,Prosodic Errors,4,23,1,0.15,0.80,0.25
SA002_grandfather,turbo,Substitution Errors,11,95,1,0.10,0.92,0.19
SA002_grandfather,turbo,Deletion Errors,5,100,5,0.05,0.50,0.09
SA002_grandfather,turbo,Insertion Errors,2,103,6,0.02,0.25,0.04
SA002_grandfather,turbo,Repetition Errors,2,103,2,0.02,0.50,0.04
SA002_grandfather,turbo,Prosodic Errors,2,103,2,0.02,0.50,0.04
SA002_rainbow,tiny,Substitution Errors,7,37,1,0.16,0.88,0.27
SA002_rainbow,tiny,Deletion Errors,7,37,0,0.16,1.00,0.27
SA002_rainbow,tiny,Insertion Errors,4,40,0,0.09,1.00,0.17
SA002_rainbow,tiny,Repetition Errors,0,44,0,0.00,0.00,0.00
SA002_rainbow,tiny,Prosodic Errors,1,43,0,0.02,1.00,0.04
SA002_rainbow,base,Substitution Errors,6,21,2,0.22,0.75,0.34
SA002_rainbow,base,Deletion Errors,5,22,1,0.19,0.83,0.30
SA002_rainbow,base,Insertion Errors,5,22,0,0.19,1.00,0.31
SA002_rainbow,base,Repetition Errors,0,27,0,0.00,0.00,0.00
SA002_rainbow,base,Prosodic Errors,0,27,1,0.00,0.00,0.00
SA002_rainbow,small,Substitution Errors,5,14,3,0.26,0.63,0.37
SA002_rainbow,small,Deletion Errors,4,15,2,0.21,0.67,0.32
SA002_rainbow,small,Insertion Errors,4,15,0,0.21,1.00,0.35
SA002_rainbow,small,Repetition Errors,0,19,0,0.00,0.00,0.00
SA002_rainbow,small,Prosodic Errors,0,19,1,0.00,0.00,0.00
